序号,数据源,爬虫版本,技能词典版本,专业词典版本,搜索岗位,搜索城市,搜索城市编码,来源岗位ID,来源链接,采集时间,来源岗位指纹,内容指纹,岗位名称,公司名称,实际城市,区县,薪资原文,最低月薪,最高月薪,年薪月数,学历要求,学历原文,经验要求,经验原文,最低经验年限,最高经验年限,经验要求类型,岗位类型,行业,公司规模,公司性质,发布日期,发布日期原文,经度,纬度,API隐藏专业标签核验状态,正文专业候选原文,正文确认标准专业,专业类别,专业要求级别,专业证据,专业判定来源,专业判定说明,岗位描述原文,岗位描述清洗文本,任职要求文本,岗位职责文本,官网岗位标签,描述技能候选,任职要求技能候选,确认技能候选,技能类别,技能证据,技能提取范围,数据质量标记
1,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,HqJ2a5qwg3GinVFaNCtp7p,https://www.ncss.cn/student/jobs/HqJ2a5qwg3GinVFaNCtp7p/detail.html,2026-06-24T14:25:17.516993,1c0aac0f8e3ee9a4,ec2c69e96bbc70d9,AI算法工程师、图像算法工程师、营销算法工程师、语音算法工程,北京学纳百川教育科技有限公司,西安,,3-8K/月,3000,8000,12,本科,本科及以上,,,,,未说明,全职,,5000以上,其他,2026-06-18,1781722809000,,,unverified_api_only,,,,未说明,,not_specified,岗位正文未明确专业要求，平台列表专业标签不纳入标准专业候选,"AI算法类：AI算法工程师、图像算法工程师、营销算法工程师、语音算法工程师、推荐算法工程师、AI应用算法工程师、算法工程师（大模型方向）
工程技术类：算法后端工程师、数据仓库工程师
教研产品类：产品教研、题库教研、学科教研（数学/语文）","AI算法类：AI算法工程师、图像算法工程师、营销算法工程师、语音算法工程师、推荐算法工程师、AI应用算法工程师、算法工程师（大模型方向）
工程技术类：算法后端工程师、数据仓库工程师
教研产品类：产品教研、题库教研、学科教研（数学/语文）",,"AI算法类：AI算法工程师、图像算法工程师、营销算法工程师、语音算法工程师、推荐算法工程师、AI应用算法工程师、算法工程师（大模型方向）
工程技术类：算法后端工程师、数据仓库工程师
教研产品类：产品教研、题库教研、学科教研（数学/语文）",,数据仓库|大语言模型|推荐算法,,数据仓库|大语言模型|推荐算法,数据仓库=>数据工程 || 大语言模型=>人工智能 || 推荐算法=>算法,数据仓库=>工程技术类：算法后端工程师、数据仓库工程师 || 大语言模型=>AI算法类：AI算法工程师、图像算法工程师、营销算法工程师、语音算法工程师、推荐算法工程师、AI应用算法工程师、算法工程师（大模型方向） || 推荐算法=>AI算法类：AI算法工程师、图像算法工程师、营销算法工程师、语音算法工程师、推荐算法工程师、AI应用算法工程师、算法工程师（大模型方向）,job_description_fallback,requirement_section_missing|major_missing|platform_major_unverified|district_missing
2,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,U49N85hW32GKhGGwn8XpBS,https://www.ncss.cn/student/jobs/U49N85hW32GKhGGwn8XpBS/detail.html,2026-06-24T14:25:21.185495,ae992bb4a2697eef,2a38692cdc1b2f13,算法工程师,西安知象光电科技有限公司,西安,,15-2.5K/月,15000,2500,12,本科,本科及以上,,,,,未说明,全职,,1-49人,其他,2026-06-17,1781690460000,,,not_supported_by_description,计算机|数学|电子信息|自动化|人工智能|机械工程,计算机类|数学|电子信息类|自动化|人工智能|机械类,计算机类=>工学 || 数学=>理学 || 电子信息类=>工学 || 自动化=>工学 || 人工智能=>工学 || 机械类=>工学,要求,2、计算机科学与技术、电子信息、人工智能、机器人、自动化、数学、计算机视觉、机械工程、计算机图形学等相关专业,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,一、岗位职责1、负责研究和开发公司所需的各种算法，包括3D建模、3D成像、机器人视觉、三维数据可视化、机器学习等；2、参与公司项目的算法设计和优化，提高产品的性能与稳定性；3、跟踪业界最新的算法发展动态，并将研究成果应用到产品中。二、任职要求1、统招硕士及以上学历；2、计算机科学与技术、电子信息、人工智能、机器人、自动化、数学、计算机视觉、机械工程、计算机图形学等相关专业；3、熟练掌握算法设计和开发流程，有良好的编程能力和逻辑思维能力；4、具备良好的学习、沟通和团队协作能力。,一、岗位职责1、负责研究和开发公司所需的各种算法，包括3D建模、3D成像、机器人视觉、三维数据可视化、机器学习等；2、参与公司项目的算法设计和优化，提高产品的性能与稳定性；3、跟踪业界最新的算法发展动态，并将研究成果应用到产品中。二、任职要求1、统招硕士及以上学历；2、计算机科学与技术、电子信息、人工智能、机器人、自动化、数学、计算机视觉、机械工程、计算机图形学等相关专业；3、熟练掌握算法设计和开发流程，有良好的编程能力和逻辑思维能力；4、具备良好的学习、沟通和团队协作能力。,,一、岗位职责1、负责研究和开发公司所需的各种算法，包括3D建模、3D成像、机器人视觉、三维数据可视化、机器学习等；2、参与公司项目的算法设计和优化，提高产品的性能与稳定性；3、跟踪业界最新的算法发展动态，并将研究成果应用到产品中。二、任职要求1、统招硕士及以上学历；2、计算机科学与技术、电子信息、人工智能、机器人、自动化、数学、计算机视觉、机械工程、计算机图形学等相关专业；3、熟练掌握算法设计和开发流程，有良好的编程能力和逻辑思维能力；4、具备良好的学习、沟通和团队协作能力。,,机器学习|数据可视化|计算机视觉,,机器学习|数据可视化|计算机视觉,机器学习=>人工智能 || 数据可视化=>数据可视化 || 计算机视觉=>人工智能,机器学习=>一、岗位职责1、负责研究和开发公司所需的各种算法，包括3D建模、3D成像、机器人视觉、三维数据可视化、机器学习等； || 数据可视化=>一、岗位职责1、负责研究和开发公司所需的各种算法，包括3D建模、3D成像、机器人视觉、三维数据可视化、机器学习等； || 计算机视觉=>2、计算机科学与技术、电子信息、人工智能、机器人、自动化、数学、计算机视觉、机械工程、计算机图形学等相关专业；,job_description_fallback,requirement_section_missing|platform_major_not_supported|district_missing
3,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,Jz6AjnVHAu4Nh1CfeNR9Lw,https://www.ncss.cn/student/jobs/Jz6AjnVHAu4Nh1CfeNR9Lw/detail.html,2026-06-24T14:25:24.849689,6b9e779b0ae1924c,d19bf2d8ce35070f,算法工程师,西安诺瓦星云科技股份有限公司,西安,,10.5-15K/月,10500,15000,12,,不限,应届生,应届毕业生,0,0,应届,全职,,1-49人,其他,2026-06-17,1781690441000,,,not_supported_by_description,数学|电子信息,数学|电子信息类,数学=>理学 || 电子信息类=>工学,优先,工作要求1、应届毕业生，研究生及以上学历，电子信息类、数学物理类专业优先,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,工作职责1、负责算法技术预研，包括相关技术的原理探索、算法设计、仿真验证和性能评估，编写算法技术预研过程中的技术文档；2、负责算法实现的软件开发工作或对接硬件算法实现团队，跟进相关算法技术的开发、实现和维护；3、协助产品线完成对应技术的产品集成和技术维护；4、负责工作过程的资产积累和分享（包括但不限于： 技术积淀、 技术分享、 业务分享）。工作要求1、应届毕业生，研究生及以上学历，电子信息类、数学物理类专业优先；2、具有扎实的数学功底，理解并掌握概率论、矩阵论、最优化方法等数学方法；3、熟练使用C++/Python中的一种，具备进行算法仿真验证的经验和能力；4、对图像处理、视频处理、机器学习有一定的基础，并具有浓厚兴趣，致力于从事相关工作；5、具备总结和归纳开发成果的文档编写能力，英语读写熟练，有丰富的英文文献阅读经验。,工作职责1、负责算法技术预研，包括相关技术的原理探索、算法设计、仿真验证和性能评估，编写算法技术预研过程中的技术文档；2、负责算法实现的软件开发工作或对接硬件算法实现团队，跟进相关算法技术的开发、实现和维护；3、协助产品线完成对应技术的产品集成和技术维护；4、负责工作过程的资产积累和分享（包括但不限于： 技术积淀、 技术分享、 业务分享）。工作要求1、应届毕业生，研究生及以上学历，电子信息类、数学物理类专业优先；2、具有扎实的数学功底，理解并掌握概率论、矩阵论、最优化方法等数学方法；3、熟练使用C++/Python中的一种，具备进行算法仿真验证的经验和能力；4、对图像处理、视频处理、机器学习有一定的基础，并具有浓厚兴趣，致力于从事相关工作；5、具备总结和归纳开发成果的文档编写能力，英语读写熟练，有丰富的英文文献阅读经验。,,1、负责算法技术预研，包括相关技术的原理探索、算法设计、仿真验证和性能评估，编写算法技术预研过程中的技术文档；2、负责算法实现的软件开发工作或对接硬件算法实现团队，跟进相关算法技术的开发、实现和维护；3、协助产品线完成对应技术的产品集成和技术维护；4、负责工作过程的资产积累和分享（包括但不限于： 技术积淀、 技术分享、 业务分享）。工作要求1、应届毕业生，研究生及以上学历，电子信息类、数学物理类专业优先；2、具有扎实的数学功底，理解并掌握概率论、矩阵论、最优化方法等数学方法；3、熟练使用C++/Python中的一种，具备进行算法仿真验证的经验和能力；4、对图像处理、视频处理、机器学习有一定的基础，并具有浓厚兴趣，致力于从事相关工作；5、具备总结和归纳开发成果的文档编写能力，英语读写熟练，有丰富的英文文献阅读经验。,,Python|机器学习|C++,,Python|机器学习|C++,Python=>编程语言 || 机器学习=>人工智能 || C++=>编程语言,Python=>3、熟练使用C++/Python中的一种，具备进行算法仿真验证的经验和能力； || 机器学习=>4、对图像处理、视频处理、机器学习有一定的基础，并具有浓厚兴趣，致力于从事相关工作； || C++=>3、熟练使用C++/Python中的一种，具备进行算法仿真验证的经验和能力；,job_description_fallback,requirement_section_missing|platform_major_not_supported|education_missing|district_missing
4,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,GsRHdLddsuxVjWfiSfq2Bt,https://www.ncss.cn/student/jobs/GsRHdLddsuxVjWfiSfq2Bt/detail.html,2026-06-24T14:25:28.542812,d3719ce16906fbde,a625317d5f109501,算法工程师,西安华为技术有限公司,西安,,9-15K/月,9000,15000,12,硕士,硕士及以上,,,,,未说明,全职,,5000以上,,2026-06-15,1781492400000,,,not_provided,,,,未说明,,not_specified,岗位正文未明确专业要求，平台列表专业标签不纳入标准专业候选,"岗位职责: 
1. 参与算法模型的设计、实现与优化，支持业务场景中的技术需求 
2. 根据实际问题进行数据分析与建模，提升算法准确性和效率 
3. 跟进前沿技术，结合业务目标推动算法创新与落地 
4. 与工程团队协作，完成算法的部署与性能调优 
5. 撰写技术文档，保障算法模块的可维护性与可扩展性 
任职要求： 
1. 具备扎实的编程能力和算法基础，熟悉常用数据结构与算法设计 
2. 熟悉机器学习或深度学习原理，有相关模型开发经验优先
3. 善于分析问题并提出有效解决方案，具备良好的逻辑思维能力 
4. 具备较强的学习能力，能快速掌握新技术并应用于实践 
5. 具备良好的沟通能力和团队协作意识，能高效协同跨职能团队","岗位职责: 
1. 参与算法模型的设计、实现与优化，支持业务场景中的技术需求 
2. 根据实际问题进行数据分析与建模，提升算法准确性和效率 
3. 跟进前沿技术，结合业务目标推动算法创新与落地 
4. 与工程团队协作，完成算法的部署与性能调优 
5. 撰写技术文档，保障算法模块的可维护性与可扩展性 
任职要求： 
1. 具备扎实的编程能力和算法基础，熟悉常用数据结构与算法设计 
2. 熟悉机器学习或深度学习原理，有相关模型开发经验优先
3. 善于分析问题并提出有效解决方案，具备良好的逻辑思维能力 
4. 具备较强的学习能力，能快速掌握新技术并应用于实践 
5. 具备良好的沟通能力和团队协作意识，能高效协同跨职能团队","1. 具备扎实的编程能力和算法基础，熟悉常用数据结构与算法设计 
2. 熟悉机器学习或深度学习原理，有相关模型开发经验优先
3. 善于分析问题并提出有效解决方案，具备良好的逻辑思维能力 
4. 具备较强的学习能力，能快速掌握新技术并应用于实践 
5. 具备良好的沟通能力和团队协作意识，能高效协同跨职能团队","1. 参与算法模型的设计、实现与优化，支持业务场景中的技术需求 
2. 根据实际问题进行数据分析与建模，提升算法准确性和效率 
3. 跟进前沿技术，结合业务目标推动算法创新与落地 
4. 与工程团队协作，完成算法的部署与性能调优 
5. 撰写技术文档，保障算法模块的可维护性与可扩展性",,机器学习|深度学习,机器学习|深度学习,机器学习|深度学习,机器学习=>人工智能 || 深度学习=>人工智能,机器学习=>2. 熟悉机器学习或深度学习原理，有相关模型开发经验优先 || 深度学习=>2. 熟悉机器学习或深度学习原理，有相关模型开发经验优先,requirement_text,major_missing|district_missing
5,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,Wwvh5N8jrJ8V8cifHpcPCU,https://www.ncss.cn/student/jobs/Wwvh5N8jrJ8V8cifHpcPCU/detail.html,2026-06-24T14:25:32.275193,93d6db0492efdad8,d4a9e80775fde4f1,深度学习算法工程师（AIGC视觉）,深圳小波微粒科技有限公司,西安,,20-35K/月,20000,35000,12,硕士,硕士及以上,,,,,未说明,全职,,50-99人,,2026-06-11,1781146839000,,,not_provided,计算机,计算机类,计算机类=>工学,要求,1. 应届硕士及以上学历，计算机相关专业毕业，AI相关专业研究方向,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"工作地点有深圳、武汉、西安、香港可选
岗位职责：
1. 负责计算机视觉相关的技术系统与产品的算法研究与实现工作；
2. 负责计算机视觉相关方向的技术难点攻关与前瞻研究；
3. 自主学习，跟随业内AI技术发展动态，匹配业务诉求，识别关键技术点与实现准备。
岗位要求：
1. 应届硕士及以上学历，计算机相关专业毕业，AI相关专业研究方向；
2. 对计算机视觉、图像处理、深度学习等有浓厚兴趣，在计算机视觉方面有较深入的研究；
3. 熟悉Diffusion、DiT等图像或视频生成算法，具有较强的算法创新能力和实现能力者优先；
4. 熟悉Python，熟悉PyTorch框架；
5. 具有较强的逻辑思维能力、良好的沟通能力和团队合作精神。","工作地点有深圳、武汉、西安、香港可选
岗位职责：
1. 负责计算机视觉相关的技术系统与产品的算法研究与实现工作；
2. 负责计算机视觉相关方向的技术难点攻关与前瞻研究；
3. 自主学习，跟随业内AI技术发展动态，匹配业务诉求，识别关键技术点与实现准备。
岗位要求：
1. 应届硕士及以上学历，计算机相关专业毕业，AI相关专业研究方向；
2. 对计算机视觉、图像处理、深度学习等有浓厚兴趣，在计算机视觉方面有较深入的研究；
3. 熟悉Diffusion、DiT等图像或视频生成算法，具有较强的算法创新能力和实现能力者优先；
4. 熟悉Python，熟悉PyTorch框架；
5. 具有较强的逻辑思维能力、良好的沟通能力和团队合作精神。","1. 应届硕士及以上学历，计算机相关专业毕业，AI相关专业研究方向；
2. 对计算机视觉、图像处理、深度学习等有浓厚兴趣，在计算机视觉方面有较深入的研究；
3. 熟悉Diffusion、DiT等图像或视频生成算法，具有较强的算法创新能力和实现能力者优先；
4. 熟悉Python，熟悉PyTorch框架；
5. 具有较强的逻辑思维能力、良好的沟通能力和团队合作精神。","1. 负责计算机视觉相关的技术系统与产品的算法研究与实现工作；
2. 负责计算机视觉相关方向的技术难点攻关与前瞻研究；
3. 自主学习，跟随业内AI技术发展动态，匹配业务诉求，识别关键技术点与实现准备",,Python|PyTorch|深度学习|计算机视觉,Python|PyTorch|深度学习|计算机视觉,Python|PyTorch|深度学习|计算机视觉,Python=>编程语言 || PyTorch=>深度学习框架 || 深度学习=>人工智能 || 计算机视觉=>人工智能,Python=>4. 熟悉Python，熟悉PyTorch框架； || PyTorch=>4. 熟悉Python，熟悉PyTorch框架； || 深度学习=>2. 对计算机视觉、图像处理、深度学习等有浓厚兴趣，在计算机视觉方面有较深入的研究； || 计算机视觉=>2. 对计算机视觉、图像处理、深度学习等有浓厚兴趣，在计算机视觉方面有较深入的研究；,requirement_text,district_missing
6,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,GZBrKuhSU2QacKuhkhSB5v,https://www.ncss.cn/student/jobs/GZBrKuhSU2QacKuhkhSB5v/detail.html,2026-06-24T14:25:36.066463,8fb19b7a53ea0dd6,2d9a27f1631eeb8f,雷达算法工程师,西安迅尔电子有限责任公司,西安,,10-20K/月,10000,20000,12,硕士,硕士及以上,,,,,未说明,全职,,50-99人,民营企业,2026-06-05,1780652115229,,,not_supported_by_description,通信工程,通信工程,通信工程=>工学,要求,1. 硕士生学历，信号与信息处理、电子工程、通信工程等相关专业背景,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"工作职责
1. 主导雷达信号处理算法的仿真建模与数据处理全流程，覆盖信号滤波、目标检测、参数估计等核心环节。
2. 负责算法的验证与迭代优化，配合嵌入式团队完成算法代码的工程化实现，确保算法性能满足系统指标。
3. 参与系统各模块联调，定位并解决信号处理链路中的技术问题，保障雷达系统的稳定性与精度。
4. 输出算法设计文档、试验报告等技术资料，沉淀算法开发与优化的方法论。
任职要求
1. 硕士生学历，信号与信息处理、电子工程、通信工程等相关专业背景；
2. 精通数字信号处理基础理论，熟练掌握FFT、滤波、自适应信号处理等核心算法。
3. 具备雷达信号处理（如脉冲压缩、CFAR检测、目标跟踪）算法的开发与实现经验，有实际项目落地案例者优先。
4. 熟练使用Matlab/Python进行算法仿真，具备扎实的C语言编程能力，能独立完成算法代码的移植与调试。
5. 具备较强的问题分析能力与团队协作意识，能高效推进跨部门技术联调。","工作职责
1. 主导雷达信号处理算法的仿真建模与数据处理全流程，覆盖信号滤波、目标检测、参数估计等核心环节。
2. 负责算法的验证与迭代优化，配合嵌入式团队完成算法代码的工程化实现，确保算法性能满足系统指标。
3. 参与系统各模块联调，定位并解决信号处理链路中的技术问题，保障雷达系统的稳定性与精度。
4. 输出算法设计文档、试验报告等技术资料，沉淀算法开发与优化的方法论。
任职要求
1. 硕士生学历，信号与信息处理、电子工程、通信工程等相关专业背景；
2. 精通数字信号处理基础理论，熟练掌握FFT、滤波、自适应信号处理等核心算法。
3. 具备雷达信号处理（如脉冲压缩、CFAR检测、目标跟踪）算法的开发与实现经验，有实际项目落地案例者优先。
4. 熟练使用Matlab/Python进行算法仿真，具备扎实的C语言编程能力，能独立完成算法代码的移植与调试。
5. 具备较强的问题分析能力与团队协作意识，能高效推进跨部门技术联调。","1. 硕士生学历，信号与信息处理、电子工程、通信工程等相关专业背景；
2. 精通数字信号处理基础理论，熟练掌握FFT、滤波、自适应信号处理等核心算法。
3. 具备雷达信号处理（如脉冲压缩、CFAR检测、目标跟踪）算法的开发与实现经验，有实际项目落地案例者优先。
4. 熟练使用Matlab/Python进行算法仿真，具备扎实的C语言编程能力，能独立完成算法代码的移植与调试。
5. 具备较强的问题分析能力与团队协作意识，能高效推进跨部门技术联调。","1. 主导雷达信号处理算法的仿真建模与数据处理全流程，覆盖信号滤波、目标检测、参数估计等核心环节。
2. 负责算法的验证与迭代优化，配合嵌入式团队完成算法代码的工程化实现，确保算法性能满足系统指标。
3. 参与系统各模块联调，定位并解决信号处理链路中的技术问题，保障雷达系统的稳定性与精度。
4. 输出算法设计文档、试验报告等技术资料，沉淀算法开发与优化的方法论",五险一金|岗位晋升|年终分红|股权激励|股票期权|定期体检|年终奖|年底双薪|年度旅游|节日礼物,Python|MATLAB,Python|MATLAB,Python|MATLAB,Python=>编程语言 || MATLAB=>数值计算工具,Python=>4. 熟练使用Matlab/Python进行算法仿真，具备扎实的C语言编程能力，能独立完成算法代码的移植与调试。 || MATLAB=>4. 熟练使用Matlab/Python进行算法仿真，具备扎实的C语言编程能力，能独立完成算法代码的移植与调试。,requirement_text,platform_major_not_supported|district_missing
7,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,4DfZ6aKtofocULdKt6T7T3,https://www.ncss.cn/student/jobs/4DfZ6aKtofocULdKt6T7T3/detail.html,2026-06-24T14:25:39.848568,53e5b614a5e15f70,f6b196b0913b2a51,算法工程师-(空间智能与具身智能),西安华为技术有限公司,西安,,30-60K/月,30000,60000,12,硕士,硕士及以上,2027年,2027年,2027,2027,精确,全职,,5000以上,,2026-06-05,1780628400000,,,not_provided,,,,未说明,,not_specified,岗位正文未明确专业要求，平台列表专业标签不纳入标准专业候选,"2012实验室-中央软件院，正式投递8月份开始
Base地：深圳，北京，西安，武汉）
毕业时间要求：国内：2027年1月1日~2027年12月31日；港澳及海外：2026年1月1日~2027年12月31日
学历要求：硕士
业务方向：Spatial AI / Embodied AI
关键词：Pose Estimation, Visual Positioning, SLAM, Sensor Fusion, 3DGS, Reconstruction, Voxel/TSDF, Spatio-Temporal Representation, Scene Graph, Detection, Tracking, AR/VR, Trajectory Prediction, Intention Prediction, World Model, Scene Dynamics, Physics-based Reasoning, Causal Reasoning, Affordance, Path Planning, Collision Avoidance, Task Allocation, VLM, VLA, 4D Generation, Generative Simulation, Sim-to-Real
优先考虑：
以下会议/期刊发表记录者：
CVPR, ICCV, ECCV, ICRA, RSS, NeurIPS, AAAI, TPAMI, TRO, IJRR, RA-L
竞赛经验者
开源项目参与经验","2012实验室-中央软件院，正式投递8月份开始
Base地：深圳，北京，西安，武汉）
毕业时间要求：国内：2027年1月1日~2027年12月31日；港澳及海外：2026年1月1日~2027年12月31日
学历要求：硕士
业务方向：Spatial AI / Embodied AI
关键词：Pose Estimation, Visual Positioning, SLAM, Sensor Fusion, 3DGS, Reconstruction, Voxel/TSDF, Spatio-Temporal Representation, Scene Graph, Detection, Tracking, AR/VR, Trajectory Prediction, Intention Prediction, World Model, Scene Dynamics, Physics-based Reasoning, Causal Reasoning, Affordance, Path Planning, Collision Avoidance, Task Allocation, VLM, VLA, 4D Generation, Generative Simulation, Sim-to-Real
优先考虑：
以下会议/期刊发表记录者：
CVPR, ICCV, ECCV, ICRA, RSS, NeurIPS, AAAI, TPAMI, TRO, IJRR, RA-L
竞赛经验者
开源项目参与经验",,"2012实验室-中央软件院，正式投递8月份开始
Base地：深圳，北京，西安，武汉）
毕业时间要求：国内：2027年1月1日~2027年12月31日；港澳及海外：2026年1月1日~2027年12月31日
学历要求：硕士
业务方向：Spatial AI / Embodied AI
关键词：Pose Estimation, Visual Positioning, SLAM, Sensor Fusion, 3DGS, Reconstruction, Voxel/TSDF, Spatio-Temporal Representation, Scene Graph, Detection, Tracking, AR/VR, Trajectory Prediction, Intention Prediction, World Model, Scene Dynamics, Physics-based Reasoning, Causal Reasoning, Affordance, Path Planning, Collision Avoidance, Task Allocation, VLM, VLA, 4D Generation, Generative Simulation, Sim-to-Real
优先考虑：
以下会议/期刊发表记录者：
CVPR, ICCV, ECCV, ICRA, RSS, NeurIPS, AAAI, TPAMI, TRO, IJRR, RA-L
竞赛经验者
开源项目参与经验",,,,,,,job_description_fallback,requirement_section_missing|major_missing|skill_candidate_missing|district_missing
8,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,Y2BuqSRKe2v2UxQBJ7pn4J,https://www.ncss.cn/student/jobs/Y2BuqSRKe2v2UxQBJ7pn4J/detail.html,2026-06-24T14:25:43.589817,72a944cb91b53303,a7a3898185ce9e8b,算法工程师,华为技术有限公司,西安,,12-17K/月,12000,17000,12,本科,本科及以上,,,,,未说明,全职,,5000以上,,2026-05-30,1780110012000,,,not_provided,计算机,计算机类,计算机类=>工学,要求,计算机、软件、电子等相关专业,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"岗位描述：
参与 AI 计算平台相关软件研发与性能优化工作，参与 AI 芯片、并行计算、大模型推理等方向工作。
工作内容：
参与 AI 计算平台相关功能开发
协助进行性能分析与优化
参与相关技术调研与方案验证
岗位要求
计算机、软件、电子等相关专业
熟悉 C/C++ 或 Rust
熟悉 Linux 开发环境
具备良好的编程与问题分析能力
对 AI、系统软件或高性能计算方向感兴趣
加分项：
了解 GPU/NPU 或并行计算
有 AI、系统软件或开源项目经验","岗位描述：
参与 AI 计算平台相关软件研发与性能优化工作，参与 AI 芯片、并行计算、大模型推理等方向工作。
工作内容：
参与 AI 计算平台相关功能开发
协助进行性能分析与优化
参与相关技术调研与方案验证
岗位要求
计算机、软件、电子等相关专业
熟悉 C/C++ 或 Rust
熟悉 Linux 开发环境
具备良好的编程与问题分析能力
对 AI、系统软件或高性能计算方向感兴趣
加分项：
了解 GPU/NPU 或并行计算
有 AI、系统软件或开源项目经验","计算机、软件、电子等相关专业
熟悉 C/C++ 或 Rust
熟悉 Linux 开发环境
具备良好的编程与问题分析能力
对 AI、系统软件或高性能计算方向感兴趣
加分项：
了解 GPU/NPU 或并行计算
有 AI、系统软件或开源项目经验","参与 AI 计算平台相关软件研发与性能优化工作，参与 AI 芯片、并行计算、大模型推理等方向工作。
工作内容：
参与 AI 计算平台相关功能开发
协助进行性能分析与优化
参与相关技术调研与方案验证",,C++|Linux|大语言模型,C++|Linux,C++|Linux,C++=>编程语言 || Linux=>操作系统,C++=>熟悉 C/C++ 或 Rust || Linux=>熟悉 Linux 开发环境,requirement_text,district_missing
9,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,5bnLMjzKtEf952Dqoa2VUK,https://www.ncss.cn/student/jobs/5bnLMjzKtEf952Dqoa2VUK/detail.html,2026-06-24T14:25:47.317340,efd198bfd628546c,1824dcf88f4f6de8,算法工程师,华为技术有限公司,西安,,12-17K/月,12000,17000,12,本科,本科及以上,,,,,未说明,实习,,5000以上,,2026-05-30,1780110000000,,,not_provided,计算机,计算机类,计算机类=>工学,要求,任职要求：计算机相关专业， 具备AI相关经验,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"岗位职责：AI应用开发、AI算法预研、AI芯片软件设计与开发
任职要求：计算机相关专业， 具备AI相关经验
岗位福利：华为标标准实习生工资待遇","岗位职责：AI应用开发、AI算法预研、AI芯片软件设计与开发
任职要求：计算机相关专业， 具备AI相关经验
岗位福利：华为标标准实习生工资待遇","计算机相关专业， 具备AI相关经验
岗位福利：华为标标准实习生工资待遇",AI应用开发、AI算法预研、AI芯片软件设计与开发,,,,,,,requirement_text,skill_candidate_missing|district_missing|description_short
10,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,RGGaubmcs1UHZHgL9yS7fv,https://www.ncss.cn/student/jobs/RGGaubmcs1UHZHgL9yS7fv/detail.html,2026-06-24T14:25:51.086735,bc8fed15ebcf7a19,fe06698de68d8b61,算法工程师,格尔软件股份有限公司西安分公司,西安,,9-12K/月,9000,12000,12,硕士,硕士及以上,,,,,未说明,全职,,50-99人,其他,2026-05-26,1779732018000,,,unverified_api_only,,,,未说明,,not_specified,岗位正文未明确专业要求，平台列表专业标签不纳入标准专业候选,"1、负责密码新算法的工程实现与原型开发；
2、对现有密码模块进行性能优化与安全加固；
3、跟踪国际密码学界前沿论文，分析技术进展；
4、推进公司密码技术演进，协同软件团队进行技术落地。","1、负责密码新算法的工程实现与原型开发；
2、对现有密码模块进行性能优化与安全加固；
3、跟踪国际密码学界前沿论文，分析技术进展；
4、推进公司密码技术演进，协同软件团队进行技术落地。",,"1、负责密码新算法的工程实现与原型开发；
2、对现有密码模块进行性能优化与安全加固；
3、跟踪国际密码学界前沿论文，分析技术进展；
4、推进公司密码技术演进，协同软件团队进行技术落地。",五险一金,,,,,,job_description_fallback,requirement_section_missing|major_missing|platform_major_unverified|skill_candidate_missing|district_missing
